Source,Target,Type,Id,Label,Weight,capacity,distance
7,8,Directed,448,,1,-0.304961,4.960142
7,10,Directed,450,,1,-0.304961,4.960142
7,12,Directed,452,,1,-0.304961,4.960142
7,14,Directed,454,,1,-0.304961,4.960142
7,16,Directed,456,,1,-0.304961,4.960142
7,17,Directed,457,,1,-0.304961,4.960142
7,20,Directed,460,,1,-0.304961,4.960142
7,21,Directed,461,,1,-0.304961,4.960142
7,24,Directed,464,,1,-0.304961,4.960142
7,25,Directed,465,,1,-0.304961,4.960142
7,26,Directed,466,,1,-0.304961,4.960142
7,27,Directed,467,,1,-0.304961,4.960142
7,42,Directed,482,,1,-0.495055,4.527969
7,43,Directed,483,,1,-0.495055,4.527969
7,44,Directed,484,,1,-0.495055,4.527969
7,45,Directed,485,,1,-0.495055,4.527969
7,49,Directed,489,,1,-0.495055,4.527969
7,51,Directed,491,,1,-0.495055,4.527969
7,52,Directed,492,,1,-0.495055,4.527969
7,54,Directed,494,,1,-0.495055,4.527969
7,57,Directed,497,,1,-0.495055,4.527969
7,58,Directed,498,,1,-0.495055,4.527969
7,61,Directed,501,,1,-0.495055,4.527969
7,62,Directed,502,,1,-0.495055,4.527969
7,3,Directed,444,,1,-0.896093,4.049939
7,5,Directed,446,,1,-0.896093,4.049939
7,6,Directed,447,,1,-0.896093,4.049939
7,32,Directed,472,,1,-1.368367,3.50735
7,33,Directed,473,,1,-1.368367,3.50735
7,34,Directed,474,,1,-1.368367,3.50735
7,35,Directed,475,,1,-1.368367,3.50735
7,36,Directed,476,,1,-1.368367,3.50735
7,37,Directed,477,,1,-1.368367,3.50735
7,38,Directed,478,,1,-1.368367,3.50735
7,39,Directed,479,,1,-1.368367,3.50735
7,9,Directed,449,,1,-3.466065,2.863739
7,11,Directed,451,,1,-3.466065,2.863739
7,13,Directed,453,,1,-3.466065,2.863739
7,15,Directed,455,,1,-3.466065,2.863739
7,18,Directed,458,,1,-3.466065,2.863739
7,19,Directed,459,,1,-3.466065,2.863739
7,22,Directed,462,,1,-3.466065,2.863739
7,23,Directed,463,,1,-3.466065,2.863739
7,28,Directed,468,,1,-3.466065,2.863739
7,29,Directed,469,,1,-3.466065,2.863739
7,30,Directed,470,,1,-3.466065,2.863739
7,31,Directed,471,,1,-3.466065,2.863739
7,46,Directed,486,,1,-7.551904,2.02497
7,47,Directed,487,,1,-7.551904,2.02497
7,53,Directed,493,,1,-7.551904,2.02497
7,55,Directed,495,,1,-7.551904,2.02497
7,59,Directed,499,,1,-7.551904,2.02497
7,63,Directed,503,,1,-7.551904,2.02497
8,39,Directed,542,,1,1.394329,8.349163
8,21,Directed,524,,1,0.053783,7.576742
8,23,Directed,526,,1,0.053783,7.576742
8,27,Directed,530,,1,0.053783,7.576742
8,31,Directed,534,,1,0.053783,7.576742
8,35,Directed,538,,1,0.170875,7.301131
8,37,Directed,540,,1,0.170875,7.301131
8,15,Directed,518,,1,0.001109,7.0147
8,41,Directed,544,,1,-0.109418,6.716064
8,43,Directed,546,,1,-0.109418,6.716064
8,45,Directed,548,,1,-0.109418,6.716064
8,47,Directed,550,,1,-0.109418,6.716064
8,17,Directed,520,,1,-0.04441,6.403516
8,19,Directed,522,,1,-0.04441,6.403516
8,25,Directed,528,,1,-0.04441,6.403516
8,29,Directed,532,,1,-0.04441,6.403516
8,33,Directed,536,,1,-0.231339,6.074909
8,38,Directed,541,,1,-0.231339,6.074909
8,51,Directed,554,,1,-0.231339,6.074909
8,55,Directed,558,,1,-0.231339,6.074909
8,61,Directed,564,,1,-0.231339,6.074909
8,63,Directed,566,,1,-0.231339,6.074909
8,11,Directed,514,,1,-0.121643,5.727479
8,13,Directed,516,,1,-0.121643,5.727479
8,14,Directed,517,,1,-0.121643,5.727479
8,1,Directed,505,,1,-0.304961,4.960142
8,3,Directed,507,,1,-0.304961,4.960142
8,5,Directed,509,,1,-0.304961,4.960142
8,7,Directed,511,,1,-0.304961,4.960142
8,20,Directed,523,,1,-0.304961,4.960142
8,22,Directed,525,,1,-0.304961,4.960142
8,26,Directed,529,,1,-0.304961,4.960142
8,30,Directed,533,,1,-0.304961,4.960142
8,34,Directed,537,,1,-0.495055,4.527969
8,36,Directed,539,,1,-0.495055,4.527969
8,49,Directed,552,,1,-0.495055,4.527969
8,50,Directed,553,,1,-0.495055,4.527969
8,53,Directed,556,,1,-0.495055,4.527969
8,54,Directed,557,,1,-0.495055,4.527969
8,57,Directed,560,,1,-0.495055,4.527969
8,59,Directed,562,,1,-0.495055,4.527969
8,60,Directed,563,,1,-0.495055,4.527969
